release_month,listed_name,total_releases
2,"Classic Movies",1
2,"Independent Movies",1
2,"Music & Musicals",1
2,"Reality TV",1
2,"Sci-Fi & Fantasy",1
2,"Stand-Up Comedy & Talk Shows",1
2,Thrillers,1
3,"Anime Features",1
3,"Independent Movies",1
3,"Music & Musicals",1
3,"Stand-Up Comedy & Talk Shows",1
3,"TV Action & Adventure",1
4,"Classic Movies",1
4,"Independent Movies",1
4,Movies,1
4,"Romantic TV Shows",1
4,"Stand-Up Comedy & Talk Shows",1
4,"TV Horror",1
4,"TV Shows",1
5,"Classic & Cult TV",1
5,"Cult Movies",1
5,"Sports Movies",1
5,"TV Shows",1
6,"Anime Features",1
6,"Music & Musicals",1
6,"Romantic Movies",1
6,"TV Comedies",1
6,"TV Shows",1
7,"Anime Features",1
7,"Independent Movies",1
7,"Reality TV",1
7,"Stand-Up Comedy & Talk Shows",1
7,"TV Action & Adventure",1
7,"TV Shows",1
8,"Anime Features",1
8,"Classic Movies",1
8,"Stand-Up Comedy & Talk Shows",1
9,"Anime Features",1
9,"Cult Movies",1
9,"Romantic TV Shows",1
9,"TV Action & Adventure",1
9,"TV Horror",1
10,"Anime Features",1
10,"Music & Musicals",1
10,"Romantic TV Shows",1
10,"Sci-Fi & Fantasy",1
10,"TV Action & Adventure",1
11,"Romantic TV Shows",1
11,"Sci-Fi & Fantasy",1
11,"Spanish-Language TV Shows",1
11,"Stand-Up Comedy & Talk Shows",1
11,"TV Horror",1
11,"TV Shows",1
12,"Anime Features",1
12,"Classic & Cult TV",1
12,"Romantic Movies",1
12,"Sci-Fi & Fantasy",1
12,"TV Dramas",1
